data,extract4,extract3,extract2,extract1,extract
Marshini Chetty ,0101,(Total: 10, Open: 0, Waitlist: 4),6:00pm - 8:45pm,HBK  0123,CMSC498
Th ,0101,(Total: 20, Open: 3, Waitlist: 0),6:00pm - 8:45pm,HBK  0123,CMSC498
David Van Horn,0101,(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  3118,CMSC631
TuTh ,0101,(Total: 25, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  3118,CMSC631
Ramani Duraiswami,0101,(Total: 25, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  3120,CMSC660
TuTh ,0101,(Total: 20, Open: 15, Waitlist: 0),3:30pm - 4:45pm,CSI  3120,CMSC660
Howard Elman,0101,(Total: 20, Open: 15, Waitlist: 0),5:00pm - 6:15pm,CSI  4122,CMSC663
TuTh ,0101,(Total: 25, Open: 8, Waitlist: 0),5:00pm - 6:15pm,CSI  4122,CMSC663
Tobias von Petersdorff ,0101,(Total: 25, Open: 8, Waitlist: 0),2:00pm - 3:15pm,CSI  4122,CMSC666
TuTh ,0101,(Total: 40, Open: 9, Waitlist: 0),2:00pm - 3:15pm,CSI  4122,CMSC666
Mihai Pop,0101,(Total: 40, Open: 9, Waitlist: 0),9:30am - 10:45am,CSI  3120,CMSC701
TuTh ,0101,(Total: 20, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  3120,CMSC701
A.U. Shankar ,0101,(Total: 20, Open: 0, Waitlist: 0),2:00pm - 3:30pm,AVW  3258,CMSC712
TuTh ,0101,(Total: 40, Open: 0, Waitlist: 10),2:00pm - 3:30pm,AVW  3258,CMSC712
Hal Daume,0101,(Total: 40, Open: 0, Waitlist: 10),2:00pm - 3:15pm,CSI  2120,CMSC723
TuTh ,0101,(Total: 32, Open: 0, Waitlist: 17),2:00pm - 3:15pm,CSI  2120,CMSC723
David Jacobs ,0101,(Total: 32, Open: 0, Waitlist: 17),11:00am - 12:15pm,CSI  3118,CMSC733
TuTh ,0101,(Total: 20, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  3118,CMSC733
Atif Memon ,0101,(Total: 20, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  2118,CMSC737
TuTh ,0101,(Total: 32, Open: 0, Waitlist: 15),9:30am - 10:45am,CSI  2118,CMSC737
David Mount ,0101,(Total: 32, Open: 0, Waitlist: 15),12:30pm - 1:45pm,CSI  2118,CMSC754
TuTh ,0101,(Total: 40, Open: 10, Waitlist: 0),12:30pm - 1:45pm,CSI  2118,CMSC754
Jeffrey Foster ,0101,(Total: 40, Open: 10, Waitlist: 0),11:00am - 12:50pm,CSI  2117,CMSC798
F ,0101,(Total: 20, Open: 1, Waitlist: 0),11:00am - 12:50pm,CSI  2117,CMSC798
